team_id,shortName,teamName,head_coach,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals
16,Chicago,Blackhawks,Trent Yawney,33,257.0,3013.0,1718.0,1896.0,517.0,65.0,0.0,629.0,545.0,1198.0,283,329
17,Detroit,Red Wings,Dave Lewis,96,524.0,4925.0,1925.0,2180.0,633.0,139.0,0.0,1220.0,887.0,1215.0,410,506
17,Detroit,Red Wings,Jeff Blashill,301,2091.0,24691.0,18349.0,7286.0,2501.0,414.0,43328.3,9621.0,4506.0,11237.0,2386,2656
17,Detroit,Red Wings,Mike Babcock,477,2482.0,27103.0,15950.0,8393.0,3434.0,695.0,21385.5,7247.0,5453.0,9078.0,2248,2452
17,Detroit,Red Wings,Scotty Bowman,100,504.0,5188.0,0.0,2135.0,743.0,158.0,0.0,0.0,0.0,0.0,423,470
18,Nashville,Predators,Barry Trotz,512,2774.0,29572.0,14845.0,12688.0,4411.0,721.0,15979.8,6915.0,6340.0,10551.0,2642,2995
18,Nashville,Predators,John Hynes,68,328.0,4232.0,2136.0,1028.0,388.0,76.0,6744.8,1276.0,816.0,2168.0,368,344
18,Nashville,Predators,Peter Laviolette,484,2658.0,29233.0,18119.0,8368.0,2872.0,457.0,46253.1,8712.0,6583.0,12669.0,2480,2702
19,St Louis,Blues,Andy Murray,118,676.0,6993.0,5052.0,3751.0,1078.0,174.0,0.0,1772.0,1506.0,3468.0,683,748
19,St Louis,Blues,Craig Berube,392,2032.0,21152.0,15320.0,5132.0,1940.0,408.0,34549.2,5608.0,5576.0,8716.0,1940,1948
19,St Louis,Blues,Davis Payne,67,385.0,4152.0,3163.0,2080.0,477.0,83.0,4539.6,773.0,848.0,1842.0,362,407
19,St Louis,Blues,Joel Quenneville,156,873.0,8842.0,1844.0,5374.0,1402.0,261.0,0.0,1055.0,418.0,1045.0,735,899
19,St Louis,Blues,Ken Hitchcock,268,1250.0,13601.0,11019.0,5455.0,1453.0,295.0,23714.8,2265.0,2965.0,6433.0,1149,1257
19,St Louis,Blues,Mike Kitchen,38,302.0,3682.0,2000.0,2058.0,720.0,104.0,0.0,1518.0,677.0,1910.0,367,376
19,St Louis,Blues,Mike Yeo,100,562.0,6228.0,4350.0,1543.0,621.0,120.0,10306.1,1216.0,1429.0,3154.0,550,558
20,Calgary,Flames,Al MacNeil,4,21.0,293.0,49.0,169.0,52.0,6.0,0.0,0.0,0.0,0.0,25,20
20,Calgary,Flames,Bill Peters,248,1456.0,14696.0,7564.0,4188.0,1532.0,288.0,23629.2,6216.0,4524.0,5868.0,1288,1488
20,Calgary,Flames,Bob Hartley,139,823.0,8420.0,6429.0,2967.0,965.0,171.0,14436.7,2969.0,2436.0,5222.0,820,926
20,Calgary,Flames,Brent Sutter,118,641.0,7112.0,4975.0,2864.0,846.0,151.0,7730.4,2343.0,1770.0,3429.0,638,691
20,Calgary,Flames,Darryl Sutter,107,529.0,5926.0,3724.0,3761.0,1048.0,168.0,0.0,1986.0,1355.0,2182.0,491,542
20,Calgary,Flames,Don Hay,23,167.0,1843.0,0.0,1128.0,374.0,57.0,0.0,0.0,0.0,0.0,181,184
20,Calgary,Flames,Geoff Ward,117,680.0,6589.0,4590.0,1735.0,556.0,142.0,10273.3,2722.0,1796.0,2987.0,769,556
20,Calgary,Flames,Glen Gulutzan,82,447.0,5286.0,3312.0,1905.0,542.0,101.0,8234.6,1670.0,1349.0,2271.0,458,478
20,Calgary,Flames,Greg Gilbert,42,283.0,3263.0,126.0,2205.0,549.0,77.0,0.0,0.0,0.0,0.0,290,329
20,Calgary,Flames,Jim Playfair,43,255.0,2242.0,1491.0,1204.0,401.0,73.0,0.0,971.0,670.0,1029.0,206,278
20,Calgary,Flames,Mike Keenan,88,477.0,4959.0,3185.0,2641.0,710.0,120.0,0.0,1446.0,1152.0,1552.0,435,523
21,Colorado,Avalanche,Bob Hartley,107,564.0,5602.0,176.0,2532.0,871.0,165.0,0.0,0.0,0.0,0.0,494,511
21,Colorado,Avalanche,Jared Bednar,451,2791.0,28419.0,18788.0,8044.0,3127.0,621.0,43054.8,6988.0,6315.0,13673.0,2602,2777
21,Colorado,Avalanche,Joe Sacco,130,771.0,8681.0,6424.0,3604.0,938.0,167.0,10857.8,2107.0,2477.0,4296.0,808,880
21,Colorado,Avalanche,Joel Quenneville,131,771.0,7388.0,3083.0,3057.0,1182.0,217.0,0.0,2082.0,2237.0,3586.0,722,791
21,Colorado,Avalanche,Patrick Roy,133,686.0,7230.0,6089.0,2530.0,790.0,138.0,12641.4,1636.0,1801.0,4112.0,685,729
21,Colorado,Avalanche,Tony Granato,104,595.0,6201.0,3622.0,3052.0,880.0,169.0,0.0,1721.0,1681.0,2691.0,562,611
22,Edmonton,Oilers,Craig MacTavish,301,1800.0,18263.0,6856.0,9936.0,3026.0,469.0,232.6,6417.0,3362.0,6174.0,1759,1933
22,Edmonton,Oilers,Dallas Eakins,36,264.0,3090.0,2447.0,1242.0,364.0,58.0,5559.0,1306.0,789.0,1659.0,315,327
